run_id,target_id,retailer,country,sku_id,sku_url,category,strategy,status_code,latency_ms,bytes_received,is_reached,is_content_ok,is_identified,is_extracted,is_validated,template_id,failure_category,failure_reason,anti_bot_vendor
run_20260823_160127_matrix,amazon-de,amazon,Germany,B0C7678D3M,https://www.amazon.de/dp/B0C7678D3M,Storage & Memory,FIRECRAWL,404,2768.54,2477,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B0CL6LMC9N,https://www.amazon.de/dp/B0CL6LMC9N,Home & Electronics,HTTP,200,2237.04,828542,True,True,True,True,False,tmpl_generic_2e6a7f301576,VALIDATION,REQUIRED_FIELD_MISSING,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B0CL6LMC9N,https://www.amazon.de/dp/B0CL6LMC9N,Home & Electronics,PLAYWRIGHT,200,5223.73,869671,True,True,True,True,False,tmpl_generic_2e6a7f301576,VALIDATION,REQUIRED_FIELD_MISSING,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B0CL6LMC9N,https://www.amazon.de/dp/B0CL6LMC9N,Home & Electronics,FIRECRAWL,200,6428.0,807611,True,False,False,False,False,tmpl_none,ACCESS,BOT_PROTECTION,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B09JQKQW89,https://www.amazon.de/dp/B09JQKQW89,Smartphones & Mobile,HTTP,404,572.35,2299,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B09JQKQW89,https://www.amazon.de/dp/B09JQKQW89,Smartphones & Mobile,PLAYWRIGHT,404,3582.79,2271,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B09JQKQW89,https://www.amazon.de/dp/B09JQKQW89,Smartphones & Mobile,FIRECRAWL,404,2060.39,2477,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B08N5WRWNW,https://www.amazon.de/dp/B08N5WRWNW,Laptops & Notebooks,HTTP,404,564.65,2299,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B08N5WRWNW,https://www.amazon.de/dp/B08N5WRWNW,Laptops & Notebooks,PLAYWRIGHT,404,3462.93,2271,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,amazon-de,amazon,Germany,B08N5WRWNW,https://www.amazon.de/dp/B08N5WRWNW,Laptops & Notebooks,FIRECRAWL,404,1999.35,2477,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
run_20260823_160127_matrix,boulanger-fr,boulanger,France,sku_0001,https://www.boulanger.com/product/sku_0001,Laptops & Notebooks,HTTP,404,1105.85,159284,True,False,False,False,False,tmpl_none,HTTP_STATUS,HTTP_404_NOT_FOUND,
