target_id,sku_id,url,title_observed,title_ground_truth,title_match,brand_observed,brand_ground_truth,brand_match,price_observed,price_ground_truth,price_match,currency_observed,currency_ground_truth,currency_match,availability_observed,availability_ground_truth,availability_match,sku_observed,sku_ground_truth,sku_match,gtin_observed,gtin_ground_truth,gtin_match
amazon-br,B09G9FPHY6,https://www.amazon.com.br/dp/B09G9FPHY6,"Apple iPad 9 Geração 10.2"" Wi-Fi 64gb Cinza Espacial MK2K3LL/A","Apple iPad 9 Geração 10.2"" Wi-Fi 64gb Cinza Espacial MK2K3LL/A",MATCH,Apple,Apple,MATCH,2690.00,2690.00,MATCH,BRL,BRL,MATCH,OutOfStock,OutOfStock,MATCH,B09G9FPHY6,B09G9FPHY6,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH
amazon-de,B09G91LXFP,https://www.amazon.de/dp/B09G91LXFP,"Apple 2021 iPad Mini (Wi-Fi, 64GB) - Space Gray (6th Generation)","Apple 2021 iPad Mini (Wi-Fi, 64GB) - Space Gray (6th Generation)",MATCH,Apple-Store,Apple,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH,EUR,EUR,MATCH,OutOfStock,OutOfStock,MATCH,B09G91LXFP,B09G91LXFP,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH
amazon-es,B0CL6LMC9N,https://www.amazon.es/dp/B0CL6LMC9N,"Alfombra Redonda Alfombras De Área Natural - Patchwork De Piel De Vaca De Calidad Profesional, Alfombras De Cuero Hechas A Mano para Sala De Estar Camino Inferior Antideslizante De PU (120 Cm)","Alfombra Redonda Alfombras De Área Natural - Patchwork De Piel De Vaca De Calidad Profesional, Alfombras De Cuero Hechas A Mano para Sala De Estar Camino Inferior Antideslizante De PU (120 Cm)",MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH,EUR,EUR,MATCH,OutOfStock,OutOfStock,MATCH,B0CL6LMC9N,B0CL6LMC9N,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH
amazon-de,B0CL6LMC9N,https://www.amazon.de/dp/B0CL6LMC9N,"Runder Teppich, natürliche Teppiche – professionelle Qualität, Rindsleder-Patchwork, Wohnzimmer, handgefertigte Lederteppiche, PU, Rutschfester Bodenläufer (120 cm)","Runder Teppich, natürliche Teppiche – professionelle Qualität, Rindsleder-Patchwork, Wohnzimmer, handgefertigte Lederteppiche, PU, Rutschfester Bodenläufer (120 cm)",MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH,EUR,EUR,MATCH,OutOfStock,OutOfStock,MATCH,B0CL6LMC9N,B0CL6LMC9N,MATCH,NOT_OBSERVED,NOT_OBSERVED,MATCH
